Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0
2022,7,AD,,0.0,0
2022,7,AD,Bottle: 660RB Flint Diva,2220.94,142
2022,7,AD,Bottle: 660RB Flint Diva,998826.17,63260
2022,7,AD,Bottle: 660RB Flint Bella,348.33,24
2022,7,AD,Bottle: 660RB Flint Bella,188247.11,11920
2022,7,AD,Bottle: 660RB Green Fish,2548.05,163
2022,7,AD,Bottle: 660RB Green Fish,1377040.66,87186
2022,7,AD,Bottle: 660RB Green Lite,0.0,0
2022,7,AD,Bottle: 660RB Green Lite,0.0,0
2022,7,AD,Bottle: 750RB Amber Calabash,776.64,56
2022,7,AD,Bottle: 750RB Amber Calabash,419870.48,29561
2022,7,AD,Crate: Blue Quart,915669.41,63260
2022,7,AD,Crate: Blue Quart,2266.58,158
2022,7,AD,Crate: Brown Quart,427869.17,29561
2022,7,AD,Crate: Brown Quart,941.4,67
2022,7,AD,Crate: Grey Quart,172520.6,11920
2022,7,AD,Crate: Grey Quart,427.3,31
2022,7,AD,Crate: Navy Quart,1262000.22,87186
2022,7,AD,Crate: Navy Quart,1009.47,71
2022,7,AD,Crate: Red Quart,0.0,0
2022,7,AD,Crate: Red Quart,0.0,0
2022,7,AD,Keg: 30L Empty,0.0,0
2022,7,AD,Keg: 30L Empty,0.0,0
2022,7,AD,Keg: 50L Empty,0.0,0
2022,7,AD,Keg: 50L Empty,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,COAL Grade A,0.0,0
2022,7,,Diesel,0.0,0
2022,7,,Diesel,0.0,0
2022,7,,Solar Electricity,0.0,0
2022,7,,Utilities : Effluent Treatment,0.0,0
2022,7,,Utilities : Electricity KWH,0.0,0
2022,7,,Utilities : Water (Generic),0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,238245.71,110577
2022,7,,,0.0,0
2022,7,,,95546.0,3020
2022,7,,,137789.53,72165
2022,7,,,613109.69,236267
2022,7,,,52706.05,33308
2022,7,,,763515.23,113798
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,BOVA BREMEN SHOE SM BLK   10,0.0,0
2022,7,,Ansell 11-840 gloves SIZE 11,0.0,0
2022,7,,CAP_NO MODIFIER:UVEX BUMP CAP,0.0,0
2022,7,,CARERING COVER LIME GREEN XL,0.0,0
2022,7,,"CARTRIDGE_NO MODIFIER:FILTER, 6738856",0.0,0
2022,7,,CHEMICAL_NO MODIFIER:ACIFOAM 100918996,0.0,0
2022,7,,CHEMICAL_NO MODIFIER:HYPOFOAM 1A705072,0.0,0
2022,7,,CHEMICAL_NO MODIFIER:SUPER FOAM 10091900,0.0,0
2022,7,,"CLEANER:DEGREASER,LIQUID,1L PAIL",0.0,0
2022,7,,"COMPOUND,CAULK:SEALANT,ALCOLIN SILICON,C",0.0,0
2022,7,,"CONTAINER:QUARTY MATCHED CELL,10MM SQ,45",0.0,0
2022,7,,Dextrose Bulk,0.0,0
2022,7,,"FILTER_ELEMENT:HIGH FLOW TRAP FILTER, 40",0.0,0
2022,7,,FILTER_NO MODIFIER:HF60PP005A01,0.0,0
2022,7,,"GLOVES:WORK,LARGE,270MM,70MM,WOOL/RUBBER",0.0,0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0
2022,7,,Maize White Milled,0.0,0
2022,7,,Malt Black (Batch Managed),0.0,0
2022,7,,Malt MFM (Batch Managed),0.0,0
2022,7,,Maltose Bulk,0.0,0
2022,7,,"PAPER,FILTER:320MM DIA,0.5MM THK",0.0,0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 5,0.0,0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 6,0.0,0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 7,0.0,0
2022,7,,"SOLUTION:BUFFER,PH4,PLASTIC BOTTLE",0.0,0
2022,7,,"SOLUTION:BUFFER,PH7,PLASTIC BOTTLE",0.0,0
2022,7,,"SOLVENT:Floor Gine,25L PLASTIC DRUM",0.0,0
2022,7,,SPECTACLES SAFETY,0.0,0
2022,7,,"THERMOMETER:TEMP,0-100 DEG C,1 DEG,6MM D",0.0,0
2022,7,,"TOWEL:DISPOSABLE,280MM WD,1000M LG,PAPER",0.0,0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S32,0.0,0
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0
2022,7,,"WRENCH,SPANNER:ADJ ""C"",90-155MM,300MM LG",0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,"ABRASIVE,ROLL:UTILITY,25MM WD,50M LG,EME",0.0,0
2022,7,,"ADHESIVE:SUPER GLUE,3G BOTTLE",0.0,0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S42,0.0,0
2022,7,,"LUBRICANT:CORROSION RETARDANT,LIQUID,500",0.0,0
2022,7,,"LUBRICANT:SILICON,LIQUID,500G AEROSOL CA",0.0,0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S40,0.0,0
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,MAKE UP-1710 - 0104V720D,0.0,0
2022,7,,"TIE,CABLE:SELF LOCK,25MM,2.5MM,104MM LG,",0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,,0.0,0
2022,7,,Ansell 11-840 gloves SIZE 10,0.0,0
2022,7,,BOOK WORK PERMIT,0.0,0
2022,7,,CAP_NO MODIFIER:UVEX BUMP CAP,0.0,0
2022,7,,COAL Grade A,0.0,0
2022,7,,"COMPOUND,CAULK:SEALANT,ALCOLIN SILICON,C",0.0,0
2022,7,,"GASKET:JOINT,62MM ID,72MM OD,5.5MM THK,",0.0,0
2022,7,,"GASKET:PREFORMED,54MM ID,64MM OD,5MM THK",0.0,0
