Material Description,Plant,Period,Year,Amount in LC,Quantity
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,6659.4,222
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8301.32,276
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5806.34,193
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8567.33,285
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11897.03,395
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12539.12,416
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10365.18,344
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16244.9,538
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13199.55,438
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11034.79,366
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13117.0,435
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17776.75,589
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21069.75,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13887.51,460
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17116.31,567
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17492.39,579
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20849.61,690
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16520.08,547
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12309.8,408
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21831.09,723
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5567.85,185
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,4256.15,142
Crate: Red Quart,AA,7,2022,-2035.27,-139
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18473.87,612
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23445.49,776
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15437.7,512
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21766.88,721
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19556.25,648
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18914.16,626
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16400.84,543
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15199.21,504
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23720.67,785
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22849.26,756
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19510.39,646
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16510.91,547
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20611.12,682
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,25325.9,838
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13988.41,464
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20143.31,667
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23399.63,775
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22858.44,757
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23133.62,766
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21097.27,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22473.18,744
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15135.0,502
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10346.84,343
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19758.05,654
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2990.31,100
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3247.15,109
Crate: Red Quart,AA,7,2022,-1552.77,-106
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15144.17,502
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18345.45,608
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23491.35,778
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23344.59,773
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20592.77,682
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22078.75,731
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20143.31,667
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22592.43,748
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23656.46,783
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2228.97,75
Crate: Red Quart,AA,7,2022,-1065.89,-72
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2320.7,78
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24353.59,806
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18859.13,625
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20913.82,692
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21473.35,711
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19079.27,632
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14043.45,465
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18180.35,602
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14006.75,464
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,7897.72,262
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21317.42,706
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24500.35,811
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22849.26,756
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,26472.49,876
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24032.55,795
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15125.83,501
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20712.02,686
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21069.75,698
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18097.79,599
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20959.68,694
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21922.82,726
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,40002.26,1323
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,779.68,27
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,64.21,4
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,733.82,26
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19381.97,642
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14896.51,494
Crate: Red Quart,AA,7,2022,188.61,15
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,972.31,34
Crate: Red Quart,AA,7,2022,-464.95,-31
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18015.24,597
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23307.9,772
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17281.42,572
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,7301.49,243
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12640.02,419
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18831.61,624
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10878.85,361
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17345.63,575
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23463.84,777
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19647.98,651
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19207.69,636
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18006.06,596
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16382.49,543
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20372.63,675
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23069.41,764
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24371.94,807
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,23766.54,787
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21876.95,724
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20959.68,694
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,25701.98,851
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21739.36,720
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24757.19,819
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13658.19,453
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10897.2,362
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,431.12,16
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3568.19,119
Crate: Red Quart,AA,7,2022,-1706.3,-116
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18171.17,602
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15740.4,522
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5210.11,174
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9108.52,302
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,935.62,32
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,467.81,17
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,6842.85,228
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16290.76,540
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12282.28,407
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17244.73,571
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8814.99,293
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11768.61,390
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21033.06,696
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10328.49,343
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24417.8,808
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,24362.76,806
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22931.82,759
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18694.02,619
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17565.77,582
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15859.65,525
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20904.65,692
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20161.65,668
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9943.24,330
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,22601.6,748
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,4430.43,148
Crate: Red Quart,AA,7,2022,-2118.61,-145
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16960.37,562
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14703.88,487
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20739.54,687
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8723.26,290
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17758.4,588
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,5760.47,192
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9512.12,316
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3678.26,123
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2605.05,88
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14667.19,486
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16676.02,552
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,1605.23,55
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10200.07,338
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14492.91,480
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10154.21,337
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,1449.29,49
Crate: Red Quart,AA,7,2022,-693.05,-46
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,4210.28,141
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9548.81,317
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15290.94,507
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19180.17,635
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,9741.44,323
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20675.33,685
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3898.41,130
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,550.36,20
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11933.72,396
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19317.76,640
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17052.1,565
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17987.72,596
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13759.09,456
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12685.88,421
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12548.29,416
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14630.5,485
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15804.61,524
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19271.9,638
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,20262.55,671
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,7705.09,256
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2339.05,79
Crate: Red Quart,AA,7,2022,-1118.52,-76
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18657.33,618
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12667.54,420
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,21528.39,713
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18950.85,628
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,17116.31,567
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,15190.04,503
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11603.5,385
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,19189.35,635
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13970.06,463
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14557.12,482
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,16529.25,548
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11007.27,365
Crate: Red Quart,AA,7,2022,-5263.64,-362
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18317.94,607
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,13584.81,450
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,10823.82,359
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,12805.13,425
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,14731.4,488
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,4650.57,155
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,-733.82,-23
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,330.22,12
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,926.45,32
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,1531.85,52
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,64.21,4
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,18244.55,604
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3448.95,115
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,752.16,26
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,376.08,14
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,431.12,16
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,302.7,12
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,165.11,7
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,1733.65,59
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11190.73,371
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,11575.98,384
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3953.45,132
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,2568.36,86
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,3540.67,118
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,999.83,35
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,256.84,10
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,8842.51,294
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,302.7,12
B&CR: 660RB Green Lite & Red Crate,AA,7,2022,26857.75,889
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2989.67,106
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3093.96,109
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9455.71,331
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9455.71,331
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8395.42,294
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8430.18,295
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8586.62,301
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8464.95,297
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,11332.95,397
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,11298.18,395
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10394.33,364
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10533.38,369
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8395.42,294
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8499.71,298
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7161.31,251
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7004.87,246
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1095.05,40
Crate: Brown Quart,AA,7,2022,-552.68,-37
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12949.45,453
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,13088.51,458
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9681.67,339
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9646.91,338
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,13801.16,483
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,13783.78,482
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12601.82,441
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12410.62,434
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10602.91,371
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10811.49,378
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12480.15,437
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12445.38,435
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9594.76,336
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9420.95,330
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7178.69,252
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7265.6,255
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4814.76,169
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4780.0,168
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3354.69,118
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3441.6,122
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1355.78,49
Crate: Brown Quart,AA,7,2022,-684.27,-46
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9751.2,342
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9768.58,342
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8743.05,306
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8604.0,302
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9542.62,334
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9542.62,334
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10255.27,359
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10237.89,358
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12167.27,426
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12132.51,425
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9003.78,315
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8986.4,315
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6014.11,211
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6014.11,211
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10533.38,369
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10620.29,372
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9038.55,317
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8986.4,315
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4136.87,146
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4119.49,145
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3632.8,128
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3580.65,126
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,5927.2,208
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6170.55,217
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,5423.13,191
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,5353.6,188
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6587.71,231
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6379.13,224
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4675.71,165
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4710.47,166
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,14374.76,503
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,14652.87,512
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8586.62,301
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8447.56,296
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8099.93,284
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8273.75,290
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6083.64,214
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6031.49,212
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8082.55,283
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8117.31,285
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8638.76,303
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8569.24,300
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6205.31,218
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,5979.35,210
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8899.49,312
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8899.49,312
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9490.47,332
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9733.82,341
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,173.82,8
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,469.31,18
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9299.27,326
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9212.36,323
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4988.58,175
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,4901.67,172
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2937.53,104
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3059.2,108
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7022.25,246
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6709.38,235
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2450.84,87
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2416.07,86
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,34.76,3
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,34.76,3
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7109.16,249
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7282.98,255
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3737.09,132
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,3650.18,129
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10446.47,366
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10394.33,364
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1086.36,39
Crate: Brown Quart,AA,7,2022,-548.3,-36
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7474.18,262
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7369.89,258
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,14044.51,491
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,14183.56,496
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10776.73,377
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10707.2,375
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9125.45,320
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9038.55,317
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9942.4,348
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9907.64,347
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6135.78,215
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,5996.73,211
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9925.02,348
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10168.36,356
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7526.33,264
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,7439.42,261
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1607.82,58
Crate: Brown Quart,AA,7,2022,-811.48,-55
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6292.22,221
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6361.75,223
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6222.69,218
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6153.16,216
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6326.98,222
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,6274.84,220
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9768.58,342
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9768.58,342
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9368.8,328
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9368.8,328
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1686.04,60
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,1790.33,64
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9299.27,326
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,9351.42,328
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8777.82,308
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8708.29,305
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12115.13,424
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,12167.27,426
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10655.05,373
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,10481.24,367
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,11124.36,389
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,11211.27,392
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2537.75,90
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,2502.98,89
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8325.89,292
B&CR: 750RB Amber Calabash & Brown Crate,AA,7,2022,8308.51,291
